project,codigo,fecha_encuesta,nombre_del_evaluador,genero_del_evaluador,interview_modality,nacionalidad,gender,follow_up,hh_language,document,interview_language,children,seniors,dependents,adults,time_in_country,date_of_arrival,d1a_housing_score,d1b_rent_score,d2_food_score,d3_education_score,d4_healthcare_score,d5_health_status_score,d6_safety_score,d7_employment_score,d8_fin_resources_score,d9_assistance_score,d10_debt_score,d11_savings_score,d12a_fin_soc_cap_score,d12b_rel_soc_cap_score,d12_average_score,group_a_total_score,d2_weighted_score,d5_weighted_score,d9_weighted_score,group_b_total_score,hh_sri_total_score,uuid,program_type,count,position,days_since_pre,measure_prop,in_program
prm,ec0007224,2022-01-31T00:00:00Z,alexandra lopez,Femenino,"Por Skype, Zoom u otra plataforma",Venezolana,Masculino,NA,Español,Cédula de identidad / ciudadanía,Español,3,0,3,2,> 5 Years,2016-10-16T00:00:00Z,5,3,5,5,3,3,3,3,5,5,3,1,1,1,1,3.2,0,0,0,0,3.2,5dadcd00-e013-48d6-98b8-48402a2e114e,MDG SESP con enfoque de género,2,1,0,0.5,TRUE
prm,ec0007224,2022-05-04T00:00:00Z,marlene guallasamin,Femenino,Vía telefónica,Venezolana,Masculino,Sí,Español,Pasaporte,Español,3,0,3,2,3 - 5 Years,2016-10-19T00:00:00Z,5,0,5,5,3,3,5,5,3,3,5,3,5,5,5,4.333333333333333,0,0,0.4,0.4,3.933333333333333,abf53b44-996a-4d40-bce9-236698e7001e,MDG SESP con enfoque de género,2,2,93,1,TRUE
prm,ec0012106,2022-01-25T00:00:00Z,elsa quishpi,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,1,0,1,1,3 - 5 Years,2018-04-07T00:00:00Z,4,3,3,5,1,2,3,4,5,5,2,3,5,1,3,3.3,0.3,0.1,0,0.4,2.9,411be569-75d2-4c27-ab27-b9d34e612cd8,MDG SESP con enfoque de género,2,1,0,0.5,TRUE
prm,ec0012106,2022-04-25T00:00:00Z,elsa quishpi,Femenino,Vía telefónica,Venezolana,Femenino,Sí,Español,Pasaporte,Español,1,0,1,1,< 1 Year,2018-04-07T00:00:00Z,5,5,5,5,3,3,5,4,5,3,5,4,5,5,5,4.6,0,0,0.4,0.4,4.199999999999999,e194ff7b-f86a-4554-adc6-fa4887fef90b,MDG SESP con enfoque de género,2,2,90,1,TRUE
hilton,ec0012446,2021-10-28T00:00:00Z,pamela veliz,Femenino,Presencial,Venezolana,Masculino,NA,Español,Cédula de identidad / ciudadanía Visa de excepción (VERHU),Español,2,0,2,2,3 – 5 Years,2017-08-18T00:00:00Z,4,1,5,3,3,2,3,5,3,5,2,3,1,5,3,3,0,0.1,0,0.1,2.9,8122a47a-fe43-44d5-804f-303aa45cab9f,NA,2,1,0,0.5,TRUE
hilton,ec0012446,2022-06-17T00:00:00Z,john ycaza,Masculino,Vía telefónica,Venezolana,Masculino,Sí,Español,Cédula de identidad / ciudadanía,Español,2,0,2,2,1 – 3 Years,2017-08-27T00:00:00Z,5,5,5,5,3,3,3,4,3,3,5,3,5,5,5,4.1,0,0,0.4,0.4,3.6999999999999997,620f6d32-0eca-4955-91bd-5ae2f3288a52,NA,2,2,232,1,TRUE
prm,ec0014071,2022-02-01T00:00:00Z,alexandra lopez,Femenino,"Por Skype, Zoom u otra plataforma",Venezolana,Femenino,NA,Español,Pasaporte Visa Humanitaria,Español,4,0,4,2,> 5 Years,2017-08-16T00:00:00Z,4,1,3,3,5,1,3,3,3,3,3,1,5,3,4,3,0.3,0.2,0.4,0.9,2.1,2a8f0838-5e40-482c-93d0-055c60a921ae,MDG SESP con enfoque de género,2,1,0,0.5,TRUE
prm,ec0014071,2022-05-05T00:00:00Z,marlene guallasamin,Femenino,Vía telefónica,Venezolana,Femenino,No,Español,Visa de excepción (VERHU),Español,4,0,4,2,< 1 Year,2017-08-16T00:00:00Z,5,1,5,5,5,1,3,2,3,3,3,1,1,3,2,3,0,0.2,0.4,0.6000000000000001,2.4,bb732eaa-2b06-4d37-96a5-4be1c25426e7,MDG SESP con enfoque de género,2,2,93,1,TRUE
prm,ec0014082,2022-02-04T00:00:00Z,elsa quishpi,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,2,0,2,2,3 - 5 Years,2017-10-29T00:00:00Z,4,3,5,5,3,2,3,2,5,5,3,1,1,1,1,3,0,0.1,0,0.1,2.9,3093c398-e6c9-42be-81d5-183298128cb1,MDG SESP con enfoque de género,2,1,0,0.5,TRUE
prm,ec0014082,2022-04-21T00:00:00Z,elsa quishpi,Femenino,Vía telefónica,Venezolana,Femenino,Sí,Español,Pasaporte,Español,2,0,2,2,3 - 5 Years,2017-10-29T00:00:00Z,5,5,5,5,5,2,5,5,3,2,5,3,5,3,4,4.5,0,0.1,0.6000000000000001,0.7000000000000001,3.8,66a10c69-8735-40e9-a9a3-cbeabe798231,MDG SESP con enfoque de género,2,2,76,1,TRUE
prm,ec0015226,2022-02-03T00:00:00Z,marlene guallasamin,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Visa de excepción (VERHU),Español,3,0,3,1,3 - 5 Years,2022-02-03T00:00:00Z,4,1,3,5,3,3,3,2,5,5,2,1,1,3,2,2.8,0.3,0,0,0.3,2.5,734490f9-eb57-46ef-ad0e-a7ffeaf2bbbd,MDG SESP con enfoque de género,2,1,0,0.5,TRUE
prm,ec0015226,2022-04-27T00:00:00Z,marlene guallasamin,Femenino,Vía telefónica,Venezolana,Femenino,Sí,Español,Ningún documento,Español,3,0,3,1,< 1 Year,2018-01-24T00:00:00Z,5,1,5,5,5,3,3,2,3,3,3,1,5,3,4,3.2,0,0,0.4,0.4,2.8000000000000003,fff32540-c683-42fc-9478-0f3e043e1f03,MDG SESP con enfoque de género,2,2,83,1,TRUE
