project,codigo,fecha_encuesta,nombre_del_evaluador,genero_del_evaluador,interview_modality,nacionalidad,gender,follow_up,hh_language,document,interview_language,children,seniors,dependents,adults,time_in_country,date_of_arrival,d1a_housing_score,d1b_rent_score,d2_food_score,d3_education_score,d4_healthcare_score,d5_health_status_score,d6_safety_score,d7_employment_score,d8_fin_resources_score,d9_assistance_score,d10_debt_score,d11_savings_score,d12a_fin_soc_cap_score,d12b_rel_soc_cap_score,d12_average_score,group_a_total_score,d2_weighted_score,d5_weighted_score,d9_weighted_score,group_b_total_score,hh_sri_total_score,uuid,program_type,count,position,days_since_pre,measure_prop,in_program
prm,bprm1,2022-04-21T00:00:00Z,robby pazmino,Masculino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,1,0,1,2,3 - 5 Years,2017-12-22T00:00:00Z,5,5,5,0,5,3,3,2,1,3,3,1,5,1,3,3.111111111111111,0,0,0.4,0.4,2.7111111111111112,f213a243-27b7-46a9-87e2-60ae5f3a221e,MDG SESP con enfoque de género,1,1,0,1,FALSE
prm,bprm2,2022-02-02T00:00:00Z,jetzabeth molina,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,2,0,2,1,< 1 Year,2021-03-28T00:00:00Z,3,0,5,1,3,3,5,2,3,2,3,1,5,1,3,2.6666666666666665,0,0,0.6000000000000001,0.6000000000000001,2.0666666666666664,2c598488-b293-4066-a200-ada4d6eeeeb0,MDG SESP con enfoque de género,1,1,0,1,FALSE
prm,bprm3,2022-02-15T00:00:00Z,olivia nazareno,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Pasaporte Visa de excepción (VERHU),Español,1,0,1,2,1 - 3 Years,2019-11-13T00:00:00Z,4,3,5,5,3,3,3,3,5,5,2,1,1,1,1,3,0,0,0,0,3,5ef262c1-57c1-4e8d-9179-f5dd36bb8bbf,MDG Regular,1,1,0,1,FALSE
prm,bprm4,2022-02-02T00:00:00Z,gabriela soto,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Otro / No aplica,Español,3,0,3,2,< 1 Year,2021-05-27T00:00:00Z,4,1,5,3,1,3,5,2,3,3,3,1,5,5,5,2.8,0,0,0.4,0.4,2.4,dd6fd0f8-a6cd-4ee9-80f3-913418077240,MDG SESP con enfoque de género,1,1,0,1,FALSE
prm,bprm5,2022-01-25T00:00:00Z,olivia nazareno,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,NA,3,NA,2,1 - 3 Years,2020-12-04T00:00:00Z,4,0,3,3,0,1,3,3,3,3,5,3,5,3,4,3.5,0.3,0.2,0.4,0.9,2.6,f9f63ce1-c1cd-4be3-aab0-218b08a32b7d,MDG SESP con enfoque de género,1,1,0,1,FALSE
prm,bprm6,2022-02-01T00:00:00Z,cecilia aulestia,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Pasaporte,Español,4,1,5,2,3 - 5 Years,2018-02-20T00:00:00Z,4,3,2,5,3,1,3,2,3,3,3,1,1,3,2,2.9,0.44999999999999996,0.2,0.4,1.0499999999999998,1.85,d006c981-9940-44a0-8a7f-e8c9eef28abf,MDG SESP con enfoque de género,1,1,0,1,FALSE
prm,bprm7,2022-04-28T00:00:00Z,johana quinaluisa,Masculino,Presencial,Colombiana,Femenino,Sí,Español,Cédula de identidad / ciudadanía,Español,2,0,2,2,1 - 3 Years,NA,5,0,5,5,3,3,3,4,5,5,5,4,5,5,5,4.333333333333333,0,0,0,0,4.333333333333333,e6e2e21d-9a41-4a09-92ef-72675d30acf8,MDG Regular,1,1,0,1,FALSE
prm,bprm8,2022-04-21T00:00:00Z,robby pazmino,Masculino,Vía telefónica,Venezolana,Femenino,NA,Español,Pasaporte,Español,0,0,0,2,1 - 3 Years,2018-03-24T00:00:00Z,5,5,5,0,1,1,1,2,5,5,5,1,5,1,3,3.111111111111111,0,0.2,0,0.2,2.911111111111111,cf33752b-f585-4aac-affd-0a52b99ba2a1,MDG SESP con enfoque de género,1,1,0,1,FALSE
caminando,caminando1,2022-04-25T00:00:00Z,cecilia aulestia,Femenino,Vía telefónica,Ecuatoriana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,1,1,2,1,> 5 Years,2022-04-25T00:00:00Z,2,0,5,5,3,3,3,2,3,3,3,1,5,3,4,2.888888888888889,0,0,0.4,0.4,2.488888888888889,3632d3e4-3cc6-475d-a768-54cc78e9d1b7,NA,1,1,0,1,FALSE
caminando,caminando10,2022-06-05T00:00:00Z,arelis meza,Femenino,Vía telefónica,Ecuatoriana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,1,0,1,0,1 - 3 Years,2021-02-17T00:00:00Z,5,1,5,1,3,3,5,1,1,5,3,1,5,3,4,2.5,0,0,0,0,2.5,dfcf0a2d-13a8-4c29-934d-e1a1d1a06e89,NA,1,1,0,1,FALSE
caminando,caminando11,2022-06-07T00:00:00Z,arelis meza,Femenino,Vía telefónica,Ecuatoriana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,1,0,1,0,1 - 3 Years,2022-06-07T00:00:00Z,3,0,5,3,1,1,3,2,1,5,3,1,5,1,3,2.2222222222222223,0,0.2,0,0.2,2.022222222222222,e9e0e246-de6a-4cc9-a53a-3b1f85343609,NA,1,1,0,1,FALSE
caminando,caminando12,2022-05-16T00:00:00Z,andreina sevillano,Femenino,Vía telefónica,Ecuatoriana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,2,0,2,4,> 5 Years,NA,5,0,3,5,0,2,3,2,1,5,5,1,1,3,2,3,0.3,0.1,0,0.4,2.6,53570aff-cc19-4e74-a13b-98124a8de330,NA,1,1,0,1,FALSE
caminando,caminando13,2022-06-08T00:00:00Z,arelis meza,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Pasaporte,Español,1,0,1,NA,3 - 5 Years,2018-08-01T00:00:00Z,5,1,5,0,1,3,3,2,1,5,3,1,1,5,3,2.2222222222222223,0,0,0,0,2.2222222222222223,b0f801fd-4d95-4668-ac20-dc1268fe7ab0,NA,1,1,0,1,FALSE
caminando,caminando14,2022-04-29T00:00:00Z,cecilia aulestia,Femenino,Vía telefónica,Ecuatoriana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,3,0,3,1,> 5 Years,2022-04-29T00:00:00Z,2,3,5,5,3,3,3,2,3,5,3,1,5,1,3,2.8,0,0,0,0,2.8,73dec01d-0f36-4f3c-bda7-adb7facf73d2,NA,1,1,0,1,FALSE
caminando,caminando15,2022-06-08T00:00:00Z,arelis meza,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Pasaporte,Español,3,2,5,3,1 - 3 Years,2019-08-19T00:00:00Z,4,3,3,3,3,1,3,2,5,2,3,1,1,3,2,2.9,0.3,0.2,0.6000000000000001,1.1,1.7999999999999998,5d425c7a-75b9-480e-8598-62a11567a94d,NA,1,1,0,1,FALSE
caminando,caminando16,2022-06-08T00:00:00Z,arelis meza,Femenino,Vía telefónica,Ecuatoriana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,2,0,2,NA,> 5 Years,NA,5,0,3,3,1,1,3,1,1,5,3,1,5,3,4,2.4444444444444446,0.3,0.2,0,0.5,1.9444444444444446,4859ce09-e101-4f9a-9ef2-40d9ddb146d8,NA,1,1,0,1,FALSE
caminando,caminando17,2022-06-06T00:00:00Z,arelis meza,Femenino,Vía telefónica,Ecuatoriana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,0,0,0,NA,> 5 Years,NA,5,0,5,0,3,3,1,1,1,5,5,1,5,1,3,2.5,0,0,0,0,2.5,d0bc4667-388d-4174-87c8-949685d8ff98,NA,1,1,0,1,FALSE
caminando,caminando18,2022-06-08T00:00:00Z,arelis meza,Femenino,Vía telefónica,Colombiana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,0,0,0,0,< 1 Year,2022-04-28T00:00:00Z,3,1,5,0,0,1,1,2,1,5,3,1,5,1,3,1.875,0,0.2,0,0.2,1.675,fd41239b-2593-48fe-b029-b6b67f1cb176,NA,1,1,0,1,FALSE
caminando,caminando19,2022-05-12T00:00:00Z,andreina sevillano,Femenino,Vía telefónica,Ecuatoriana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,NA,NA,4,1,> 5 Years,NA,1,0,5,5,3,3,3,2,5,5,2,1,1,1,1,2.5555555555555554,0,0,0,0,2.5555555555555554,9ecaa708-af0a-459f-9727-a876eb8a30c3,NA,1,1,0,1,FALSE
caminando,caminando2,2022-04-27T00:00:00Z,saskia lorena silva helguero,Femenino,Vía telefónica,Colombiana,Femenino,NA,NA,Cédula de identidad / ciudadanía,NA,2,0,5,4,< 1 Year,2021-06-16T00:00:00Z,4,3,5,3,3,3,3,3,1,3,3,1,1,1,1,2.5,0,0,0.4,0.4,2.1,7e547090-5da3-4fba-b8be-8cb6434d2110,NA,1,1,0,1,FALSE
caminando,caminando20,2022-06-05T00:00:00Z,arelis meza,Femenino,Vía telefónica,Ecuatoriana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,2,0,2,NA,> 5 Years,NA,3,0,5,5,3,3,3,2,1,3,3,1,5,3,4,2.7777777777777777,0,0,0.4,0.4,2.3777777777777778,fb92dbeb-f8e5-4b69-82a8-afa7b38f385e,NA,1,1,0,1,FALSE
caminando,caminando21,2022-06-05T00:00:00Z,arelis meza,Femenino,Vía telefónica,Ecuatoriana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,1,0,1,NA,> 5 Years,2015-05-24T00:00:00Z,3,5,5,5,1,3,3,2,1,5,3,1,5,5,5,2.9,0,0,0,0,2.9,e0d1ea2f-06d6-4fdd-b593-e22dd5abde9e,NA,1,1,0,1,FALSE
caminando,caminando22,2022-06-03T00:00:00Z,arelis meza,Femenino,Vía telefónica,Ecuatoriana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,2,0,2,0,1 - 3 Years,2021-04-01T00:00:00Z,5,1,5,1,3,1,3,3,1,3,3,1,5,3,4,2.5,0,0.2,0.4,0.6000000000000001,1.9,6a246543-65ed-4bd1-b426-e6996d1dbc17,NA,1,1,0,1,FALSE
caminando,caminando23,2022-06-08T00:00:00Z,arelis meza,Femenino,Vía telefónica,Ecuatoriana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,1,0,1,NA,> 5 Years,NA,5,0,5,5,0,3,3,2,1,3,5,1,5,5,5,3.375,0,0,0.4,0.4,2.975,672ff642-8e88-4b5b-932a-5cdea02450dd,NA,1,1,0,1,FALSE
caminando,caminando24,2022-06-05T00:00:00Z,arelis meza,Femenino,Vía telefónica,Ecuatoriana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,3,0,3,0,< 1 Year,2022-05-01T00:00:00Z,3,1,5,1,3,3,3,1,1,3,3,1,5,5,5,2.2,0,0,0.4,0.4,1.8000000000000003,ee0e0668-aebe-4f60-9353-45aafeff968c,NA,1,1,0,1,FALSE
caminando,caminando25,2022-05-12T00:00:00Z,andreina sevillano,Femenino,Vía telefónica,Ecuatoriana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,2,0,2,2,> 5 Years,NA,4,0,5,5,1,2,3,1,5,5,5,1,1,1,1,2.888888888888889,0,0.1,0,0.1,2.7888888888888888,32af4c1e-62ca-4717-8293-e15cfcf1cf12,NA,1,1,0,1,FALSE
caminando,caminando26,2022-05-05T00:00:00Z,martino buran,Masculino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,2,0,2,2,1 - 3 Years,2021-02-16T00:00:00Z,5,3,5,1,1,3,3,2,1,3,3,1,1,3,2,2.2,0,0,0.4,0.4,1.8000000000000003,330d4cc4-1c66-48de-b25c-9bde57cb6272,NA,1,1,0,1,FALSE
caminando,caminando27,2022-06-08T00:00:00Z,arelis meza,Femenino,Vía telefónica,Otro / No aplica,Femenino,NA,Español,Pasaporte,Español,1,0,1,0,< 1 Year,2022-04-01T00:00:00Z,3,0,5,0,1,3,3,1,1,2,5,1,1,3,2,2.125,0,0,0.6000000000000001,0.6000000000000001,1.525,bcf55c5b-4dae-400b-89ba-4ba5e08c47b8,NA,1,1,0,1,FALSE
caminando,caminando28,2022-05-12T00:00:00Z,andreina sevillano,Femenino,Vía telefónica,Ecuatoriana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,1,0,1,NA,> 5 Years,NA,3,0,5,5,3,3,5,2,5,3,3,1,1,1,1,3.111111111111111,0,0,0.4,0.4,2.7111111111111112,dafc7f65-4367-44f5-b23c-9b768bfe7dfa,NA,1,1,0,1,FALSE
caminando,caminando29,2022-04-28T00:00:00Z,cecilia aulestia,Femenino,Vía telefónica,Ecuatoriana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,0,0,2,3,3 - 5 Years,2022-04-28T00:00:00Z,2,1,5,0,3,3,3,2,3,5,3,1,5,3,4,2.4444444444444446,0,0,0,0,2.4444444444444446,03d7c11f-3f82-4d44-95d2-f69ffa11c53a,NA,1,1,0,1,FALSE
caminando,caminando3,2022-06-05T00:00:00Z,arelis meza,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,1,0,1,0,> 5 Years,2013-05-01T00:00:00Z,5,3,5,5,1,1,3,1,1,3,5,4,1,3,2,3,0,0.2,0.4,0.6000000000000001,2.4,4cfa5ac0-e0f0-4047-b165-5c7e5841382f,NA,1,1,0,1,FALSE
caminando,caminando30,2022-05-13T00:00:00Z,andreina sevillano,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Pasaporte,Español,2,0,2,1,< 1 Year,2021-10-22T00:00:00Z,4,3,3,5,0,3,3,3,5,5,3,1,1,3,2,3.2222222222222223,0.3,0,0,0.3,2.9222222222222225,949e981c-6376-476a-a815-12cb9c18224e,NA,1,1,0,1,FALSE
caminando,caminando31,2022-06-05T00:00:00Z,arelis meza,Femenino,Vía telefónica,Ecuatoriana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,1,NA,1,NA,> 5 Years,NA,5,0,5,0,3,3,3,1,1,5,5,1,5,3,4,2.875,0,0,0,0,2.875,235fd3e1-5656-4b16-ad5e-a92673895f43,NA,1,1,0,1,FALSE
caminando,caminando32,2022-06-06T00:00:00Z,arelis meza,Femenino,Vía telefónica,Ecuatoriana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,2,0,2,0,> 5 Years,NA,5,1,5,3,1,1,3,1,5,5,2,1,1,1,1,2.3,0,0.2,0,0.2,2.0999999999999996,b1360e7c-3a60-4d1b-a461-62d5601601fa,NA,1,1,0,1,FALSE
caminando,caminando33,2022-05-17T00:00:00Z,stefania rojas,Femenino,Vía telefónica,Ecuatoriana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,5,0,5,4,> 5 Years,NA,4,5,3,5,3,2,1,5,3,3,3,1,1,1,1,3.1,0.3,0.1,0.4,0.8,2.3,5855d71e-0b49-4084-9c78-6ec68a31cf30,NA,1,1,0,1,FALSE
caminando,caminando4,2022-06-07T00:00:00Z,arelis meza,Femenino,Vía telefónica,Ecuatoriana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,4,0,4,0,> 5 Years,2022-06-07T00:00:00Z,4,1,5,3,3,1,3,2,1,5,2,1,1,1,1,2.1,0,0.2,0,0.2,1.9000000000000001,2e305bab-b82f-4a0c-ae12-5b3dcbeeb15d,NA,1,1,0,1,FALSE
caminando,caminando5,2022-06-07T00:00:00Z,arelis meza,Femenino,Vía telefónica,Ecuatoriana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,2,0,2,0,> 5 Years,2021-06-01T00:00:00Z,3,0,5,5,3,3,3,2,1,5,3,1,5,5,5,2.888888888888889,0,0,0,0,2.888888888888889,19985050-98ff-43e8-b2c5-53a55fc4e568,NA,1,1,0,1,FALSE
caminando,caminando6,2022-06-08T00:00:00Z,arelis meza,Femenino,Vía telefónica,Ecuatoriana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,1,0,1,0,< 1 Year,2021-12-01T00:00:00Z,3,0,3,5,3,1,3,2,1,5,2,1,5,5,5,2.7777777777777777,0.3,0.2,0,0.5,2.2777777777777777,b55f65ac-37a6-4937-9946-3079b937280b,NA,1,1,0,1,FALSE
caminando,caminando7,2022-06-08T00:00:00Z,arelis meza,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Pasaporte,Español,2,0,2,NA,> 5 Years,2016-03-01T00:00:00Z,4,1,3,5,3,3,3,1,1,5,3,1,1,3,2,2.4,0.3,0,0,0.3,2.1,259068bc-8c03-40ec-9a10-7b4b207d566c,NA,1,1,0,1,FALSE
caminando,caminando8,2022-06-05T00:00:00Z,arelis meza,Femenino,Vía telefónica,Ecuatoriana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,1,NA,2,NA,> 5 Years,NA,5,1,5,5,1,3,3,3,1,3,5,1,5,5,5,3,0,0,0.4,0.4,2.6,41151fac-177f-4ae0-9a1b-4270845e9088,NA,1,1,0,1,FALSE
caminando,caminando9,2022-06-05T00:00:00Z,arelis meza,Femenino,Vía telefónica,Ecuatoriana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,4,0,4,0,> 5 Years,NA,5,1,5,5,3,1,1,2,1,5,3,1,5,1,3,2.5,0,0.2,0,0.2,2.3,c7bfc931-656b-4c7f-8a9d-93ce34a793a8,NA,1,1,0,1,FALSE
prm,ec:0024459,2022-02-03T00:00:00Z,gabriela soto,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,1,0,2,2,3 - 5 Years,2018-12-28T00:00:00Z,4,1,5,0,0,3,3,2,3,5,3,1,5,5,5,2.75,0,0,0,0,2.75,ace7ec9c-08f9-4d68-a848-247c69327d91,MDG SESP con enfoque de género,1,1,0,1,FALSE
caminando,ec0000005,2022-04-25T00:00:00Z,juan haro,Masculino,Vía telefónica,Colombiana,Femenino,NA,Español,Cédula de identidad / ciudadanía Otro / No aplica,Español,3,0,3,1,> 5 Years,2012-05-12T00:00:00Z,4,0,3,5,3,2,3,2,3,2,3,3,1,1,1,3,0.3,0.1,0.6000000000000001,1,2,af539ea0-efdc-4bda-959c-a40d4c42d20a,NA,1,1,0,1,FALSE
prm,ec0002813,2022-02-02T00:00:00Z,patricio jacome,Masculino,Vía telefónica,Colombiana,Femenino,NA,Español,Cédula de identidad / ciudadanía Pasaporte,Español,3,0,3,2,1 - 3 Years,2018-07-18T00:00:00Z,4,1,5,5,3,3,3,3,5,5,2,1,1,3,2,2.9,0,0,0,0,2.9,51a6806d-5b2b-4c42-8e11-eba4d5d06438,MDG SESP con enfoque de género,1,1,0,1,FALSE
prm,ec0007224,2022-01-31T00:00:00Z,alexandra lopez,Femenino,"Por Skype, Zoom u otra plataforma",Venezolana,Masculino,NA,Español,Cédula de identidad / ciudadanía,Español,3,0,3,2,> 5 Years,2016-10-16T00:00:00Z,5,3,5,5,3,3,3,3,5,5,3,1,1,1,1,3.2,0,0,0,0,3.2,5dadcd00-e013-48d6-98b8-48402a2e114e,MDG SESP con enfoque de género,2,1,0,0.5,TRUE
prm,ec0007224,2022-05-04T00:00:00Z,marlene guallasamin,Femenino,Vía telefónica,Venezolana,Masculino,Sí,Español,Pasaporte,Español,3,0,3,2,3 - 5 Years,2016-10-19T00:00:00Z,5,0,5,5,3,3,5,5,3,3,5,3,5,5,5,4.333333333333333,0,0,0.4,0.4,3.933333333333333,abf53b44-996a-4d40-bce9-236698e7001e,MDG SESP con enfoque de género,2,2,93,1,TRUE
prm,ec0009455,2022-02-07T00:00:00Z,olga herrera,Femenino,Vía telefónica,Colombiana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,0,1,1,1,1 - 3 Years,2022-02-06T00:00:00Z,4,1,5,0,3,3,3,4,5,5,3,3,5,3,4,3.3333333333333335,0,0,0,0,3.3333333333333335,9efe7291-8d21-4138-8c22-eed0217202c2,MDG Regular,1,1,0,1,FALSE
prm,ec0009548,2022-03-31T00:00:00Z,wendy nazareno,Femenino,Vía telefónica,Venezolana,Femenino,Sí,Español,Visa Humanitaria,Español,1,0,1,4,1 - 3 Years,2022-03-31T00:00:00Z,5,3,5,5,3,3,3,4,5,3,5,3,5,5,5,4.1,0,0,0.4,0.4,3.6999999999999997,0fcce7c2-c8d4-487f-bffb-50b18d912f59,MDG Regular,1,1,0,1,FALSE
prm,ec0011595,2022-02-04T00:00:00Z,bethzabe sanchez,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,1,0,1,2,< 1 Year,2018-02-10T00:00:00Z,4,1,5,1,5,1,3,2,5,5,3,1,1,1,1,2.6,0,0.2,0,0.2,2.4,cccc002f-2888-45ff-9878-c2f4bc4ace7f,MDG SESP con enfoque de género,1,1,0,1,FALSE
caminando,ec0011660,2022-05-12T00:00:00Z,fabricio cueva,Masculino,Vía telefónica,Venezolana,Femenino,NA,Español,Pasaporte Visa Humanitaria,Español,1,0,1,2,3 - 5 Years,2017-05-08T00:00:00Z,4,0,5,5,0,3,3,3,5,5,3,1,1,3,2,3.25,0,0,0,0,3.25,63347f06-4bba-4b75-9bad-fff8fa01272a,NA,1,1,0,1,FALSE
prm,ec0012106,2022-01-25T00:00:00Z,elsa quishpi,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,1,0,1,1,3 - 5 Years,2018-04-07T00:00:00Z,4,3,3,5,1,2,3,4,5,5,2,3,5,1,3,3.3,0.3,0.1,0,0.4,2.9,411be569-75d2-4c27-ab27-b9d34e612cd8,MDG SESP con enfoque de género,2,1,0,0.5,TRUE
prm,ec0012106,2022-04-25T00:00:00Z,elsa quishpi,Femenino,Vía telefónica,Venezolana,Femenino,Sí,Español,Pasaporte,Español,1,0,1,1,< 1 Year,2018-04-07T00:00:00Z,5,5,5,5,3,3,5,4,5,3,5,4,5,5,5,4.6,0,0,0.4,0.4,4.199999999999999,e194ff7b-f86a-4554-adc6-fa4887fef90b,MDG SESP con enfoque de género,2,2,90,1,TRUE
hilton,ec0012446,2021-10-28T00:00:00Z,pamela veliz,Femenino,Presencial,Venezolana,Masculino,NA,Español,Cédula de identidad / ciudadanía Visa de excepción (VERHU),Español,2,0,2,2,3 – 5 Years,2017-08-18T00:00:00Z,4,1,5,3,3,2,3,5,3,5,2,3,1,5,3,3,0,0.1,0,0.1,2.9,8122a47a-fe43-44d5-804f-303aa45cab9f,NA,2,1,0,0.5,TRUE
hilton,ec0012446,2022-06-17T00:00:00Z,john ycaza,Masculino,Vía telefónica,Venezolana,Masculino,Sí,Español,Cédula de identidad / ciudadanía,Español,2,0,2,2,1 – 3 Years,2017-08-27T00:00:00Z,5,5,5,5,3,3,3,4,3,3,5,3,5,5,5,4.1,0,0,0.4,0.4,3.6999999999999997,620f6d32-0eca-4955-91bd-5ae2f3288a52,NA,2,2,232,1,TRUE
prm,ec0012699,2022-02-28T00:00:00Z,wendy nazareno,Femenino,Vía telefónica,Venezolana,Femenino,Sí,Español,Cédula de identidad / ciudadanía,Español,4,0,4,2,1 - 3 Years,2018-05-31T00:00:00Z,5,5,5,5,3,3,5,4,5,5,3,1,1,5,3,3.9,0,0,0,0,3.9,2ce8e1b4-d5b6-487e-a756-75c1db914c23,MDG Regular,1,1,0,1,FALSE
prm,ec0013522,2022-01-25T00:00:00Z,elsa quishpi,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,3,0,3,3,3 - 5 Years,2017-10-03T00:00:00Z,4,3,5,5,3,1,3,2,5,5,3,1,1,1,1,3,0,0.2,0,0.2,2.8,609d16b8-24d6-42a6-ab57-b0340a79a336,MDG Regular,1,1,0,1,FALSE
