project,codigo,fecha_encuesta,nombre_del_evaluador,genero_del_evaluador,interview_modality,nacionalidad,gender,follow_up,hh_language,document,interview_language,children,seniors,dependents,adults,time_in_country,date_of_arrival,d1a_housing_score,d1b_rent_score,d2_food_score,d3_education_score,d4_healthcare_score,d5_health_status_score,d6_safety_score,d7_employment_score,d8_fin_resources_score,d9_assistance_score,d10_debt_score,d11_savings_score,d12a_fin_soc_cap_score,d12b_rel_soc_cap_score,d12_average_score,group_a_total_score,d2_weighted_score,d5_weighted_score,d9_weighted_score,group_b_total_score,hh_sri_total_score,uuid,program_type,count,position,days_since_pre,measure_prop,in_program,fecha_post,sri_post,time_period,sri_change
prm,ec0007224,2022-01-31T00:00:00Z,alexandra lopez,Femenino,"Por Skype, Zoom u otra plataforma",Venezolana,Masculino,NA,Español,Cédula de identidad / ciudadanía,Español,3,0,3,2,> 5 Years,2016-10-16T00:00:00Z,5,3,5,5,3,3,3,3,5,5,3,1,1,1,1,3.2,0,0,0,0,3.2,5dadcd00-e013-48d6-98b8-48402a2e114e,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-05-04T00:00:00Z,3.933333333333333,93,0.733333333333333
prm,ec0012106,2022-01-25T00:00:00Z,elsa quishpi,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,1,0,1,1,3 - 5 Years,2018-04-07T00:00:00Z,4,3,3,5,1,2,3,4,5,5,2,3,5,1,3,3.3,0.3,0.1,0,0.4,2.9,411be569-75d2-4c27-ab27-b9d34e612cd8,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-25T00:00:00Z,4.199999999999999,90,1.2999999999999994
hilton,ec0012446,2021-10-28T00:00:00Z,pamela veliz,Femenino,Presencial,Venezolana,Masculino,NA,Español,Cédula de identidad / ciudadanía Visa de excepción (VERHU),Español,2,0,2,2,3 – 5 Years,2017-08-18T00:00:00Z,4,1,5,3,3,2,3,5,3,5,2,3,1,5,3,3,0,0.1,0,0.1,2.9,8122a47a-fe43-44d5-804f-303aa45cab9f,NA,2,1,0,0.5,TRUE,2022-06-17T00:00:00Z,3.6999999999999997,232,0.7999999999999998
prm,ec0014071,2022-02-01T00:00:00Z,alexandra lopez,Femenino,"Por Skype, Zoom u otra plataforma",Venezolana,Femenino,NA,Español,Pasaporte Visa Humanitaria,Español,4,0,4,2,> 5 Years,2017-08-16T00:00:00Z,4,1,3,3,5,1,3,3,3,3,3,1,5,3,4,3,0.3,0.2,0.4,0.9,2.1,2a8f0838-5e40-482c-93d0-055c60a921ae,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-05-05T00:00:00Z,2.4,93,0.2999999999999998
prm,ec0014082,2022-02-04T00:00:00Z,elsa quishpi,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,2,0,2,2,3 - 5 Years,2017-10-29T00:00:00Z,4,3,5,5,3,2,3,2,5,5,3,1,1,1,1,3,0,0.1,0,0.1,2.9,3093c398-e6c9-42be-81d5-183298128cb1,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-21T00:00:00Z,3.8,76,0.8999999999999999
prm,ec0015226,2022-02-03T00:00:00Z,marlene guallasamin,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Visa de excepción (VERHU),Español,3,0,3,1,3 - 5 Years,2022-02-03T00:00:00Z,4,1,3,5,3,3,3,2,5,5,2,1,1,3,2,2.8,0.3,0,0,0.3,2.5,734490f9-eb57-46ef-ad0e-a7ffeaf2bbbd,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-27T00:00:00Z,2.8000000000000003,83,0.30000000000000027
prm,ec0016930,2022-01-18T00:00:00Z,wendy nazareno,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Pasaporte,Español,2,0,2,2,< 1 Year,2018-06-14T00:00:00Z,5,5,3,5,1,3,3,5,5,3,3,1,1,3,2,3.5,0.3,0,0.4,0.7,2.8,f3e12a40-7ac9-4013-a543-dc85246e89ac,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-29T00:00:00Z,4.1,101,1.2999999999999998
prm,ec0018313,2022-02-14T00:00:00Z,olga herrera,Femenino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía,Español,3,0,3,4,1 - 3 Years,2021-03-16T00:00:00Z,4,1,5,5,3,2,3,2,5,5,3,1,1,3,2,2.9,0,0.1,0,0.1,2.8,b2f4e620-a977-4344-9461-11b36b018650,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-18T00:00:00Z,3.5,63,0.7000000000000002
prm,ec0021337,2022-01-28T00:00:00Z,darlin alejandro alonzo veliz,Masculino,Vía telefónica,Venezolana,Femenino,NA,Español,Cédula de identidad / ciudadanía Pasaporte Visa de excepción (VERHU),Español,0,0,0,2,1 - 3 Years,2022-01-28T00:00:00Z,4,1,3,0,3,1,5,2,3,5,3,3,5,3,4,3.111111111111111,0.3,0.2,0,0.5,2.611111111111111,f0dd7dc9-6b3a-41ac-a40c-c2d9cb2d66e1,MDG SESP con enfoque de género,2,1,0,0.5,TRUE,2022-04-27T00:00:00Z,3.1555555555555554,89,0.5444444444444443
hilton,ec0023390,2021-11-17T00:00:00Z,pamela veliz,Femenino,Presencial,Venezolana,Femenino,NA,Español,Pasaporte,Español,1,NA,NA,NA,< 1 Year,2020-12-05T00:00:00Z,5,3,5,5,3,1,3,4,3,5,2,1,1,3,2,3.1,0,0.2,0,0.2,2.9,dd6a2a6a-cfd3-4206-88d5-a6c1e01c6578,NA,2,1,0,0.5,TRUE,2022-06-23T00:00:00Z,3.711111111111111,218,0.8111111111111109
